"id","fecha","hora","temperatura","humedad","intensidad_luz","humedad_suelo"
"96","2024-01-28","23:40:05","17.30","65.60","75.83","3.88"
"97","2024-01-28","23:40:10","17.30","65.60","75.83","4.37"
"98","2024-01-28","23:40:14","17.30","65.60","76.67","4.79"
"99","2024-01-28","23:40:18","17.30","65.60","75.83","4.85"
"100","2024-01-28","23:40:23","17.30","65.60","76.67","4.55"
"101","2024-01-28","23:40:27","17.30","65.60","76.67","5.22"
"102","2024-01-28","23:40:31","17.30","65.60","76.67","3.28"
"103","2024-01-28","23:40:36","17.30","65.60","75.83","5.04"
"104","2024-01-28","23:40:40","17.30","65.60","76.67","4.43"
"105","2024-01-28","23:40:44","17.30","65.60","76.67","3.40"
"106","2024-01-28","23:40:48","17.30","65.60","76.67","4.31"
"107","2024-01-28","23:40:53","17.30","65.60","76.67","4.06"
"108","2024-01-28","23:40:57","17.30","65.60","75.83","4.13"
"109","2024-01-28","23:42:08","17.30","65.50","76.67","4.85"
"110","2024-01-28","23:42:13","17.30","65.50","76.67","4.31"
"111","2024-01-28","23:42:18","17.30","65.60","76.67","4.19"
"112","2024-01-28","23:42:22","17.30","65.70","76.67","3.34"
"113","2024-01-28","23:42:26","17.30","65.70","76.67","3.52"
"114","2024-01-28","23:42:30","17.30","65.70","76.67","4.37"
"115","2024-01-28","23:42:35","17.30","65.70","76.67","5.58"
"116","2024-01-28","23:42:39","17.30","65.60","76.67","4.13"
"117","2024-01-28","23:42:43","17.30","65.60","76.67","4.85"
"118","2024-01-28","23:42:47","17.30","65.60","76.67","3.94"
"119","2024-01-28","23:42:51","17.30","65.50","76.67","4.06"
"120","2024-01-28","23:42:56","17.30","65.60","76.67","3.40"
"121","2024-01-28","23:43:00","17.30","65.60","76.67","5.40"
"122","2024-01-28","23:43:04","17.30","65.70","76.67","3.22"
"123","2024-01-28","23:43:09","17.30","65.70","76.67","3.64"
"124","2024-01-28","23:43:13","17.30","65.70","76.67","4.43"
"125","2024-01-28","23:43:17","17.30","65.70","76.67","3.58"
"126","2024-01-28","23:43:21","17.30","65.70","76.67","4.13"
"127","2024-01-28","23:43:25","17.30","65.60","76.67","3.58"
"128","2024-01-28","23:43:30","17.30","65.70","76.67","4.61"
"129","2024-01-28","23:43:34","17.30","65.70","76.67","4.06"
"130","2024-01-28","23:43:38","17.30","65.70","76.67","2.24"
"131","2024-01-28","23:43:42","17.30","65.70","76.67","2.91"
"132","2024-01-28","23:43:47","17.30","65.70","76.67","3.70"
"133","2024-01-28","23:43:51","17.30","65.70","76.67","5.40"
"134","2024-01-28","23:43:55","17.30","65.70","76.67","3.52"
"135","2024-01-28","23:43:59","17.30","65.70","76.67","4.79"
"136","2024-01-28","23:44:03","17.30","65.70","76.67","4.31"
"137","2024-01-28","23:44:08","17.30","65.70","76.67","3.94"
"138","2024-01-28","23:44:12","17.30","65.70","76.67","3.58"
"139","2024-01-28","23:44:16","17.30","65.70","76.67","3.94"
"140","2024-01-28","23:44:20","17.30","65.70","76.67","5.70"
"141","2024-01-28","23:44:24","17.30","65.70","76.67","5.46"
"142","2024-01-28","23:44:29","17.30","65.70","76.67","3.82"
"143","2024-01-28","23:44:36","17.30","65.70","76.67","3.64"
"144","2024-01-28","23:44:40","17.30","65.70","76.67","3.94"
"145","2024-01-28","23:44:45","17.30","65.70","76.67","4.67"
"146","2024-01-28","23:44:49","17.30","65.70","76.67","3.76"
"147","2024-01-28","23:44:53","17.30","65.70","76.67","3.22"
"148","2024-01-28","23:44:57","17.30","65.70","76.67","3.46"
"149","2024-01-28","23:50:05","17.30","65.80","76.67","4.06"
"150","2024-01-28","23:50:10","17.30","65.80","76.67","3.82"
"151","2024-01-28","23:50:15","17.30","65.90","76.67","4.43"
"152","2024-01-28","23:50:19","17.30","65.80","76.67","3.15"
"153","2024-01-28","23:50:23","17.30","65.90","76.67","3.58"
"154","2024-01-28","23:50:27","17.30","65.80","76.67","2.97"
"155","2024-01-28","23:50:31","17.30","65.80","76.67","3.34"
"156","2024-01-28","23:50:36","17.30","65.80","76.67","4.43"
"157","2024-01-28","23:50:40","17.30","65.80","76.67","3.82"
"158","2024-01-28","23:50:44","17.30","65.80","76.67","4.55"
"159","2024-01-28","23:50:49","17.30","65.80","76.67","3.64"
"160","2024-01-29","01:14:35","17.40","65.10","20.83","10.86"
"161","2024-01-29","01:14:40","17.40","65.10","20.83","11.53"
"162","2024-01-29","01:14:44","17.40","64.90","20.83","10.43"
"163","2024-01-29","01:14:48","17.40","65.00","20.83","15.41"
"164","2024-01-29","01:14:53","17.40","65.00","20.83","12.13"
"165","2024-01-29","01:14:57","17.40","65.00","20.83","11.53"
"166","2024-01-29","01:15:01","17.40","65.10","20.83","12.80"
"167","2024-01-29","01:15:05","17.40","65.10","20.83","10.92"
"168","2024-01-29","01:15:09","17.40","65.10","20.83","11.65"
"169","2024-01-29","01:15:14","17.40","65.10","20.83","11.41"
"170","2024-01-29","01:15:18","17.40","65.10","20.83","11.65"
"171","2024-01-29","01:15:22","17.40","65.10","20.83","16.26"
"172","2024-01-29","01:15:26","17.40","65.10","20.83","11.34"
"173","2024-01-29","01:15:31","17.40","65.10","20.83","14.20"
"174","2024-01-29","01:15:35","17.40","65.10","20.83","13.10"
"175","2024-01-29","01:15:40","17.40","65.10","20.83","11.41"
"176","2024-01-29","01:15:44","17.40","65.10","20.83","12.74"
"177","2024-01-29","01:15:48","17.40","65.10","20.83","11.53"
"178","2024-01-29","01:15:52","17.40","65.20","20.83","12.56"
"179","2024-01-29","01:15:56","17.40","65.20","20.83","12.01"
"180","2024-01-29","01:16:00","17.40","65.10","20.83","12.19"
"181","2024-01-29","01:16:05","17.40","65.10","20.83","10.50"
"182","2024-01-29","01:16:09","17.40","65.10","20.83","11.65"
"183","2024-01-29","01:16:13","17.40","65.10","20.83","13.29"
"184","2024-01-29","01:16:18","17.40","65.00","20.83","15.53"
"185","2024-01-29","01:16:22","17.50","65.00","20.83","10.68"
"186","2024-01-29","01:16:26","17.40","65.00","20.83","12.92"
"187","2024-01-29","01:16:30","17.40","65.00","20.83","11.53"
"188","2024-01-29","01:16:34","17.40","65.00","20.83","11.16"
"189","2024-01-29","01:16:39","17.40","65.00","20.83","12.56"
"190","2024-01-29","01:16:43","17.40","65.00","20.83","12.62"
"191","2024-01-29","01:16:47","17.50","65.00","20.83","15.47"
"192","2024-01-29","01:16:52","17.40","65.00","20.83","12.07"
"193","2024-01-29","01:16:55","17.50","65.00","20.83","15.53"
"194","2024-01-29","01:17:00","17.40","65.00","20.83","12.44"
"195","2024-01-29","01:17:04","17.50","65.00","20.83","14.01"
"196","2024-01-29","01:17:08","17.40","65.00","20.83","11.59"
"197","2024-01-29","01:17:13","17.50","65.00","20.83","13.41"
"198","2024-01-29","01:17:20","17.40","65.00","20.83","10.62"
"199","2024-01-29","01:17:24","17.40","65.00","20.83","11.71"
"200","2024-01-29","01:17:28","17.40","65.00","20.83","12.01"
"201","2024-01-29","01:17:33","17.40","65.00","20.83","12.01"
"202","2024-01-29","01:17:37","17.40","65.00","20.83","12.56"
"203","2024-01-29","01:17:42","17.40","65.00","20.83","11.34"
"204","2024-01-29","01:17:46","17.40","65.00","20.83","11.47"
"205","2024-01-29","01:17:50","17.40","65.00","20.83","10.86"
"206","2024-01-29","01:17:54","17.40","65.00","20.83","11.77"
"207","2024-01-29","01:17:58","17.40","65.00","20.83","10.37"
"208","2024-01-29","01:18:02","17.40","64.90","20.83","14.20"
"209","2024-01-29","01:18:07","17.40","65.00","20.83","10.37"
"210","2024-01-29","01:18:11","17.40","64.90","20.83","11.65"
"211","2024-01-29","01:18:15","17.40","65.00","20.83","15.72"
"212","2024-01-29","01:18:19","17.40","65.00","20.83","11.22"
"213","2024-01-29","01:18:24","17.40","65.00","21.67","11.95"
"214","2024-01-29","01:18:28","17.40","65.00","20.83","15.53"
"215","2024-01-29","01:18:32","17.40","65.00","21.67","13.71"
"216","2024-01-29","01:18:36","17.40","65.00","20.83","11.71"
"217","2024-01-29","01:18:41","17.40","65.00","20.83","10.37"
"218","2024-01-29","01:18:45","17.40","65.00","20.83","11.59"
"219","2024-01-29","01:18:49","17.40","65.00","20.83","10.62"
"220","2024-01-29","01:18:53","17.40","64.90","20.83","12.62"
"221","2024-01-29","01:18:57","17.40","64.80","20.83","10.37"
"222","2024-01-29","01:19:01","17.40","64.80","20.83","11.65"
"223","2024-01-29","01:19:06","17.40","64.90","20.83","11.83"
"224","2024-01-29","01:19:10","17.40","64.90","20.83","11.59"
"225","2024-01-29","01:19:15","17.40","65.00","20.83","10.68"
"226","2024-01-29","01:19:19","17.40","65.00","20.83","16.38"
"227","2024-01-29","01:19:23","17.40","65.00","21.67","16.32"
"228","2024-01-29","01:19:27","17.40","65.00","21.67","11.59"
"229","2024-01-29","01:19:32","17.40","64.80","20.83","15.59"
"230","2024-01-29","01:19:36","17.40","64.70","20.83","11.89"
"231","2024-01-29","01:19:40","17.40","64.60","20.83","12.25"
"232","2024-01-29","01:19:44","17.40","64.60","20.83","11.10"
"233","2024-01-29","01:19:48","17.40","64.70","20.83","12.86"
"234","2024-01-29","01:19:53","17.40","64.70","20.83","11.16"
"235","2024-01-29","01:19:57","17.40","64.80","20.83","10.62"
"236","2024-01-29","01:20:01","17.40","64.90","21.67","13.41"
"237","2024-01-29","01:20:05","17.40","65.00","20.83","11.95"
